row_index,biet_duoc,link_slot,url,file_id,status,http_status,local_path,file_size
10,Calci Clorid 500mg/ 5ml,1,https://drive.google.com/file/d/1UQwY5mkIAK6-CgRQYrqC0MqELI-BZNkP/view?usp=drive_link,1UQwY5mkIAK6-CgRQYrqC0MqELI-BZNkP,ok,200,dataset\hdsd_raw\0010_Calci_Clorid_500mg_5ml_1_1UQwY5mkIAK6-CgRQYrqC0MqELI-BZNkP.pdf,1373371
11,Ideos [Calci Carbonat + Vitamin D3 1250mg + 400IU],1,https://drive.google.com/file/d/1lv4gJ1qpnFM7D1mF8B608Vew7aLB6YK7/view?usp=sharing,1lv4gJ1qpnFM7D1mF8B608Vew7aLB6YK7,bad_response:text/html,404,,0
12,Bromhexin Actavis 8mg,1,https://drive.google.com/file/d/1mfRnvwOzgr6WpPaY8EOD0b6olv-w1slE/view?usp=drive_link,1mfRnvwOzgr6WpPaY8EOD0b6olv-w1slE,bad_response:text/html,404,,0
13,Corneil-5 [Bisoprolol Fumarat 5mg],1,https://drive.google.com/file/d/1YYMYXEqUfYkytZ4cKLaD-U4fgHusixVU/view?usp=drive_link,1YYMYXEqUfYkytZ4cKLaD-U4fgHusixVU,bad_response:text/html,404,,0
14,Concor 5mg,1,https://drive.google.com/file/d/1NTZnt4AyCrLD284NvmT6ebHvRB9EW0hM/view?usp=drive_link,1NTZnt4AyCrLD284NvmT6ebHvRB9EW0hM,bad_response:text/html,404,,0
15,Auclanityl 875/125mg [Amoxicilin + Acid Clavulanic],1,https://drive.google.com/file/d/107PXII3oEZS2WolNzYrrzW4Z5dPlZUif/view?usp=drive_link,107PXII3oEZS2WolNzYrrzW4Z5dPlZUif,bad_response:text/html,404,,0
16,"Amitriptylin 10, 25, 50 mg",1,https://drive.google.com/file/d/1oSHqqAdMogfc-NNOgMQr9fMCdG3NsmL1/view?usp=drive_link,1oSHqqAdMogfc-NNOgMQr9fMCdG3NsmL1,bad_response:text/html,404,,0
17,Drenoxol [Ambroxol 30mg/ 10mL],1,https://drive.google.com/file/d/1n1pDoxwpwDNZVmqoHl3jbzD51uhhvqYP/view?usp=drive_link,1n1pDoxwpwDNZVmqoHl3jbzD51uhhvqYP,bad_response:text/html,404,,0
18,Amxolstad,1,https://drive.google.com/file/d/1KLzYxCwMym-rTve23XXwCjrIoHGISYSQ/view?usp=drive_link,1KLzYxCwMym-rTve23XXwCjrIoHGISYSQ,bad_response:text/html,404,,0
19,"Boganic [85mg + 64mg + 6,4mg]",1,https://drive.google.com/file/d/1PsD-K_zk8GPV5b6FE1QZ2mtyDjmminHV/view?usp=drive_link,1PsD-K_zk8GPV5b6FE1QZ2mtyDjmminHV,bad_response:text/html,404,,0
20,Acyclovir Stella 800 Mg,1,https://drive.google.com/file/d/1LnusMP8ZM_mJuIReeakGr2iNTJu1tdDZ/view?usp=drive_link,1LnusMP8ZM_mJuIReeakGr2iNTJu1tdDZ,bad_response:text/html,404,,0
21,Tanganil 500mg/5ml,1,https://drive.google.com/file/d/1a-imaThMNuhyTxTIAJldQ5sFX-rh7xyn/view?usp=drive_link,1a-imaThMNuhyTxTIAJldQ5sFX-rh7xyn,bad_response:text/html,404,,0
21,Tanganil 500mg/5ml,2,https://drive.google.com/file/d/1NUko3AvwYCof8Swi14B1ciEtcKhTULYV/view?usp=sharing,1NUko3AvwYCof8Swi14B1ciEtcKhTULYV,ok,200,dataset\hdsd_raw\0021_Tanganil_500mg_5ml_2_1NUko3AvwYCof8Swi14B1ciEtcKhTULYV.pdf,1315010
22,Acarbose Friulchem,1,https://drive.google.com/file/d/1SwR7tzPp_WH3zGMRG2cENPpq0PkhT6OK/view?usp=sharing,1SwR7tzPp_WH3zGMRG2cENPpq0PkhT6OK,bad_response:text/html,404,,0
23,Lumigan,1,https://drive.google.com/file/d/1z9YQxG0cyFfLZcmlLhxysLEDMPEssvEz/view?usp=sharing,1z9YQxG0cyFfLZcmlLhxysLEDMPEssvEz,bad_response:text/html,404,,0
24,Lactated Ringer's,1,https://drive.google.com/file/d/1uBxaYgWZtu2X1uUMGws9iRJOFJVjeses/view?usp=sharing,1uBxaYgWZtu2X1uUMGws9iRJOFJVjeses,bad_response:text/html,404,,0
25,SUNPRANZA,1,https://drive.google.com/file/d/1HmFeciw1dojg0iD2hI5a21Zv9QkrOmth/view?usp=drive_link,1HmFeciw1dojg0iD2hI5a21Zv9QkrOmth,bad_response:text/html,404,,0
26,Quibay,1,https://drive.google.com/file/d/1rQrmsI6pH4JacpAn16sJ5UTLIA5dyNdg/view?usp=drive_link,1rQrmsI6pH4JacpAn16sJ5UTLIA5dyNdg,bad_response:text/html,404,,0
27,Pdsolone-40mg,1,https://drive.google.com/file/d/1kh54AqHkhaZBmsuyTG7U63Cw8DxdQfEV/view?usp=drive_link,1kh54AqHkhaZBmsuyTG7U63Cw8DxdQfEV,bad_response:text/html,404,,0
28,PANTOCID IV,1,https://drive.google.com/file/d/1CLkMaviADX6uQ3ZwNdQE-w0-JEPxHrxY/view?usp=drive_link,1CLkMaviADX6uQ3ZwNdQE-w0-JEPxHrxY,bad_response:text/html,404,,0
29,Lilonton Injection 3000mg/15ml,1,https://drive.google.com/file/d/1Cc6R5qKS12hf0GwPKcXovSuytGp7zvj5/view?usp=drive_link,1Cc6R5qKS12hf0GwPKcXovSuytGp7zvj5,bad_response:text/html,404,,0
30,Trabogan [Actisô 600mg],1,https://drive.google.com/file/d/1uiher8O4suYZkkdoFW9yuZOsd4fDmohv/view?usp=drive_link,1uiher8O4suYZkkdoFW9yuZOsd4fDmohv,bad_response:text/html,404,,0
31,SaViLeucin 500mg,1,https://docs.google.com/document/d/1AwzY_DzSrAJBNMV6ctLTCFaUDDHeNhOS/edit?usp=sharing&ouid=117534694973414002745&rtpof=true&sd=true,1AwzY_DzSrAJBNMV6ctLTCFaUDDHeNhOS,ok,200,dataset\hdsd_raw\0031_SaViLeucin_500mg_1_1AwzY_DzSrAJBNMV6ctLTCFaUDDHeNhOS.pdf,74924
